date,open,high,close,low,volume,amount
2010-11-24,56.56,58.99,57.28,56.02,5641242.0,202180400.0
2010-11-23,55.68,57.76,57.44,53.76,5711449.0,199445360.0
2010-11-22,55.84,58.5,56.32,54.4,8776918.0,310064256.0
2010-11-19,54.42,56.85,56.0,52.4,11302901.0,390508640.0
2010-11-18,49.6,53.62,53.62,48.43,9250982.0,301482656.0
2010-11-17,51.22,52.48,48.74,47.68,5817338.0,183322720.0
2010-11-16,53.78,55.36,52.66,50.72,12567657.0,418020032.0
2010-11-15,48.16,52.8,52.8,48.05,9380013.0,300358368.0
2010-11-12,47.36,49.28,48.0,47.1,7105656.0,213605648.0
2010-11-11,49.2,50.32,47.68,47.55,4912891.0,151159072.0
2010-11-10,48.32,51.44,49.79,48.05,7736908.0,242653360.0
2010-11-09,47.52,48.48,48.45,46.9,5161730.0,154054176.0
2010-11-08,45.3,47.92,47.65,44.98,6075768.0,176950704.0
2010-11-05,45.58,45.76,44.94,44.58,2590974.0,72731456.0
2010-11-04,44.0,45.12,44.98,44.0,3029263.0,84164808.0
2010-11-03,45.6,45.6,44.0,43.92,4684046.0,130658464.0
2010-11-02,47.33,47.55,45.63,45.62,3794321.0,110338552.0
2010-11-01,46.88,47.6,47.25,46.32,3685753.0,108048056.0
2010-10-29,46.02,47.2,47.06,45.28,4179143.0,121496952.0
2010-10-28,45.52,46.54,46.38,45.44,3728272.0,107441296.0
2010-10-27,45.6,46.8,45.54,45.33,2876170.0,82803952.0
2010-10-26,45.65,46.56,45.6,45.12,2997162.0,85756936.0
2010-10-25,44.22,45.86,45.55,44.16,2912931.0,82614120.0
2010-10-22,43.81,44.64,44.27,43.36,2199632.0,60719352.0
2010-10-21,43.68,43.98,43.76,43.17,2414534.0,65577708.0
2010-10-20,43.52,44.45,43.6,43.04,2664129.0,72777480.0
2010-10-19,42.4,44.7,44.38,42.32,5062083.0,137473296.0
2010-10-18,43.17,43.17,42.32,41.28,3446206.0,90330632.0
2010-10-15,45.28,45.68,43.42,41.78,6405825.0,175163536.0
2010-10-14,49.15,49.36,45.84,45.62,5330507.0,156427792.0
2010-10-13,49.92,49.92,49.12,48.54,3264817.0,100095832.0
2010-10-12,47.84,49.95,49.81,47.7,4973227.0,152516928.0
2010-10-11,48.56,48.77,47.98,47.84,2370234.0,71364328.0
2010-10-08,47.76,48.77,48.59,47.46,2297085.0,69250136.0
2010-09-30,46.8,47.49,47.33,46.56,935293.0,27567690.0
2010-09-29,46.61,48.0,46.8,46.24,1127306.0,33122924.0
2010-09-28,47.95,48.0,46.56,46.48,1358967.0,40146576.0
2010-09-27,47.36,48.32,47.95,46.82,1438479.0,42871356.0
2010-09-21,48.16,48.77,47.39,47.22,1433705.0,42975032.0
2010-09-20,48.32,48.78,48.32,46.02,2986639.0,89117688.0
2010-09-17,47.1,48.8,48.32,46.9,3035102.0,91092456.0
2010-09-16,46.53,47.65,47.41,45.09,3564165.0,103752736.0
2010-09-15,48.96,49.25,46.53,46.08,3645378.0,108631368.0
2010-09-14,49.6,50.19,49.25,48.0,2503720.0,76805384.0
2010-09-13,48.5,50.4,49.6,48.48,2953761.0,91723720.0
2010-09-10,48.48,49.12,48.82,47.68,2739135.0,82989400.0
2010-09-09,51.6,52.0,49.04,48.93,4061291.0,127466344.0
2010-09-08,49.68,51.52,50.88,49.14,4086255.0,129477056.0
2010-09-07,48.98,49.95,49.9,48.0,2704190.0,82933000.0
2010-09-06,50.32,51.36,49.17,48.94,3679123.0,115532616.0
2010-09-03,50.82,50.98,49.9,49.28,3600369.0,112506280.0
2010-09-02,50.19,50.83,50.34,48.96,3802845.0,119000584.0
2010-09-01,51.92,52.48,49.84,49.28,6143967.0,194641584.0
2010-08-31,50.99,53.26,51.98,49.68,7135095.0,228873568.0
2010-08-30,50.4,51.78,51.2,49.41,5095582.0,160721648.0
2010-08-27,49.6,52.0,49.9,49.25,6500733.0,204856848.0
2010-08-26,46.59,51.18,50.24,46.0,10329637.0,319014464.0
2010-08-25,45.6,48.0,46.56,45.28,9916401.0,290288288.0
2010-08-24,44.26,46.4,45.76,43.95,2190967.0,62236708.0
2010-08-23,44.8,45.34,44.24,43.76,1745482.0,48454828.0
2010-08-20,45.92,46.26,45.04,44.98,2341513.0,66818748.0
2010-08-19,45.49,46.24,45.92,45.33,2119630.0,60704288.0
2010-08-18,46.03,46.05,45.44,45.14,2199421.0,62603468.0
2010-08-17,46.56,46.88,46.05,45.89,3213973.0,92924224.0
2010-08-16,44.82,46.35,46.08,44.82,2820924.0,80935592.0
2010-08-13,44.14,45.07,44.77,43.46,1692785.0,46771512.0
2010-08-12,43.7,45.31,44.02,43.7,1910863.0,53384968.0
2010-08-11,44.53,44.94,44.42,43.97,1507434.0,41839160.0
2010-08-10,46.99,46.99,44.5,44.48,2857777.0,81152104.0
