date	cppi	hold1	fix	hold2
51	133076.4182	134056.9214	134991.726	134056.9214
52	133872.9073	134904.0079	135887.0939	134904.0079
53	134675.655	135757.9191	136789.8303	135757.9191
54	135484.7165	136618.7156	137700.0012	136618.7156
55	136300.1473	137486.4586	138617.6731	137486.4586
56	137122.0035	138361.2098	139542.9133	138361.2098
57	137950.3417	139243.0316	140475.7895	139243.0316
58	138785.2191	140131.9868	141192.0922	139956.345
59	139503.4294	140848.3597	141913.5498	140674.8148
60	140226.8734	141569.9046	142640.2064	141398.4848
61	140955.5961	142296.6655	143372.1063	142127.3997
62	141689.6428	143028.6871	144109.2942	142861.6044
63	142429.0594	143766.0144	144851.8154	143601.1441
64	143173.892	144508.6929	145599.7153	144346.0646
65	143924.1873	145256.7685	146353.04	145096.412
66	144679.9924	146010.2872	147111.8359	145852.233
67	145441.3547	146769.2959	147876.1498	146613.5744
68	146208.3223	147533.8417	148646.0289	147380.4838
69	146980.9433	148303.9721	149421.5211	148153.0089
70	147759.2668	149079.735	150202.6743	148931.198
71	148543.3418	149861.1789	150989.5372	149715.1
72	149333.2182	150648.3527	151782.1588	150504.7639
73	150128.946	151441.3055	152580.5885	151300.2395
74	150930.576	152240.0873	153384.8762	152101.5767
75	151738.1592	153044.7482	154195.0723	152908.8261
76	152551.7472	153855.3388	155011.2276	153722.0387
77	153371.3919	154671.9104	155833.3935	154541.2661
78	154197.146	155494.5144	156661.6216	155366.5601
79	155029.0624	156323.2031	157495.9642	156197.9731
80	155867.1945	157158.0288	158336.474	157035.5581
81	156711.5964	157999.0447	159183.2041	157879.3684
82	157562.3226	158846.3043	160036.2084	158729.458
83	158419.4279	159699.8615	160895.5409	159585.8811
84	159282.9678	160559.7709	161761.2562	160448.6927
85	160152.9984	161426.0875	162633.4097	161317.948
86	161029.5762	162298.8668	163512.0568	162193.7031
87	161912.7581	163178.1648	164397.2539	163076.0142
88	162849.5476	164170.4155	165449.2205	164064.038
89	163793.5903	165170.5241	166509.7016	165059.8723
90	164744.9498	166178.5599	167578.7728	166063.5863
91	165703.6903	167194.5929	168656.5105	167075.2492
92	166669.8766	168218.6938	169742.9919	168094.9315
93	167643.5739	169250.934	170838.2948	169122.7039
