,risk,yields,weight0,weight1
89,0.139929843862,0.137651006711,0.597315435628,0.402684564372
90,0.141566999829,0.138523489933,0.604026844982,0.395973155018
91,0.143205892064,0.139395973154,0.610738254335,0.389261745665
92,0.144846461633,0.140268456376,0.617449663689,0.382550336311
93,0.14648865218,0.141140939597,0.624161073043,0.375838926957
94,0.148132409794,0.142013422819,0.630872482396,0.369127517604
95,0.149777682883,0.14288590604,0.63758389175,0.36241610825
96,0.151424422046,0.143758389262,0.644295301104,0.355704698896
97,0.15307257997,0.144630872483,0.651006710457,0.348993289543
98,0.154722111313,0.145503355705,0.657718119811,0.342281880189
99,0.156372972614,0.146375838926,0.664429529165,0.335570470835
100,0.15802512219,0.147248322148,0.671140938518,0.328859061482
101,0.159678520053,0.148120805369,0.677852347872,0.322147652128
