,risk,yields,weight0,weight1,weight2
24,0.0462687151208,0.0809395973154,0.13688681048,0.0524051994649,0.810707990055
25,0.0469857781031,0.0818120805369,0.140535874649,0.0590402799198,0.800423845431
26,0.0477369436897,0.0826845637584,0.144184938188,0.065675362626,0.790139699186
27,0.0485206280013,0.0835570469799,0.147834002121,0.0723104444755,0.779855553403
28,0.0493352814418,0.0844295302013,0.151483066379,0.0789455264319,0.769571407189
29,0.0501793955162,0.0853020134228,0.155132131545,0.0855806040133,0.759287264441
30,0.051051509208,0.0861744966443,0.158781194171,0.0922156902532,0.749003115575
31,0.0519502120896,0.0870469798658,0.16243025888,0.0988507696548,0.738718971465
32,0.0528741486343,0.0879194630872,0.16607932127,0.1054858562,0.728434822529
33,0.0538220190347,0.0887919463087,0.169728387537,0.112120931644,0.71815068082
34,0.0547925814901,0.0896644295302,0.173377449336,0.118756018806,0.707866531859
35,0.0557846514645,0.0905369127517,0.177026513435,0.125391100847,0.697582385718
36,0.056797101842,0.0914093959732,0.180675578956,0.132026178019,0.687298243025
37,0.0578288624383,0.0922818791946,0.18432464122,0.138661264113,0.677014094667
38,0.0588789179875,0.0931543624161,0.187973703584,0.145296349862,0.666729946554
39,0.0599463069894,0.0940268456376,0.191622772143,0.151931420565,0.656445807292
40,0.0610301202192,0.0948993288591,0.195271834119,0.158566507141,0.64616165874
41,0.0621294980059,0.0957718120805,0.198920898469,0.165201588148,0.635877513383
42,0.0632436286113,0.096644295302,0.202569966939,0.1718366591,0.625593373961
43,0.0643717462691,0.0975167785235,0.206219025518,0.178471753581,0.615309220902
44,0.0655131282227,0.098389261745,0.209868089594,0.185106835516,0.605025074891
45,0.06666709314,0.0992617449664,0.213517155538,0.191741912111,0.594740932351
46,0.0678329990135,0.100134228188,0.217166221165,0.198376990292,0.584456788543
47,0.0690102405626,0.101006711409,0.220815283634,0.205012075315,0.574172641051
48,0.0701982474838,0.101879194631,0.224464350353,0.211647151129,0.563888498518
49,0.0713964824439,0.102751677852,0.228113411417,0.218282239905,0.553604348678
50,0.0726044389035,0.103624161074,0.231762475231,0.224917321666,0.543320203103
51,0.0738216397216,0.104496644295,0.235411542711,0.231552395472,0.533036061818
52,0.0750476351774,0.105369127517,0.239060599339,0.238187493745,0.522751906916
